name,title,url,date,keywords,content
NHL News,"Super 16: Ovechkin, Robitaille best left wings in expansion era",https://www.nhl.com/news/super-16-nhl-power-rankings-top-left-wings/c-316772536,2020-04-30,"Super,in,exp…,concerns,week,,expansion,season,coronavirus,,at,Ovechkin,,been,on,top,paused,left,day,,present,16:,form,,of,revamped,from,This,history,but,to,1967,the,March,NHL,weekly,a,since,era,has,surrounding,due,wings,16,The,it's,best,rolls,game.,looking,Robitaille,12","The NHL season has been paused since March 12 due to concerns surrounding the coronavirus, but the weekly Super 16 rolls on in a revamped form, looking at the history of the game. This week, it's the top 16 left wings from 1967 to the present day, the NHL exp… The NHL season has been paused since March 12 due to concerns surrounding the coronavirus, but the weekly Super 16 rolls on in a revamped form, looking at the history of the game. This week, it's the top 16 left wings from 1967 to the present day, the NHL exp… [+15153 chars]"
Financial Times,Indian companies hit back at rule to deter Chinese takeovers,https://www.ft.com/content/4bb30b9d-71a2-40c3-b6cb-da007a6590ef,2020-04-30,"in,concerns,deter,Authorities,and,at,on,rule,over,back,firms,to,companies,hit,with,tech,impact,takeovers,fundraising,talks,Chinese,Indian,venture,groups,capital,about","Authorities in talks with tech groups and venture capital firms over concerns about impact on fundraising Indian authorities are in talks with companies to review new foreign investment rules designed to guard against opportunistic Chinese takeovers, after the proposed regulations spooked investors and threatened to cut off crucial funding for tech start-ups.
Co… [+3832 chars]"
Buzzfeed,"19 Famous Humans Who Also Played Citizens Of The Five Factions In ""Divergent""",https://www.buzzfeed.com/ehisosifo1/famous-celebrities-forgot-divergent-movies,2020-04-30,"Famous,Also,The,Of,""Divergent"",Who,Citizens,Is,Played,Factions,Five,that...Fitz,Humans,19,In,from,Scandal??","Is that...Fitz from Scandal?? Roy Rochlin / Getty Images, Lionsgate
Where you know Suki from:Love, Rosie; Assassination Nation; and Pride and Prejudice and Zombies. Suki is also a top model for Burberry, Alexander Wang, and Balenciaga."
Financial Times,US oil jumps 30% as ‘desperate’ traders see green shoots,https://www.ft.com/content/d40c73e1-0f65-4e1b-86c4-e9f197778823,2020-04-30,"Measures,traders,green,spark,shoots,optimism,as,oil,will,rebound,to,30%,jumps,lockdown,soften,see,US,‘desperate’,that,demand,restrictions","Measures to soften lockdown restrictions spark optimism that demand will rebound US crude prices shot higher in another day of volatile trading on Wednesday, as traders bet that the gradual reopening of some western economies would ease the most dramatic collapse in oil demand in history.
West Texas Intermediate, the US benchmark, has en… [+2265 chars]"
Hacker News,I could do that in a weekend (2016),https://danluu.com/sounds-easy/,2020-04-30,"in,I,that,None,weekend,(2016),a,do,could",None None
News.com.au,Coronavirus United Kingdom: Huge spike in deaths reported,https://www.news.com.au/world/europe/coronavirus-united-kingdom-huge-spike-in-deaths-reported/news-story/4a703ec482dab098cde242ac7d2224a5,2020-04-30,"in,United,spike,Coronavirus,Huge,Kingdom:,reported,deaths","Coronavirus United Kingdom: Huge spike in deaths reported The United Kingdoms death toll has risen sharply after the government included figures in nursing homes.The UK’s coronavirus death toll now stands at 26,097, according to new figures revealed today, The Sun reports.
It is a rise of 4419 on yesterday’s tally … [+2913 chars]"
CBS News,Homeless population a growing health issue in New York City's subway system,https://www.cbsnews.com/video/homeless-population-growing-health-issue-new-york-city-subway-system-mta/,2020-04-30,"in,Governor,ire,""disgusting."",Carlin,stations.,and,caught,growing,people,issue,sleeping,Police,Andrew,who,York's,Dave,of,This,population,is,York,cars,the,Homeless,homeless,City's,situation,a,subway,CBSN,New,health,called,number,The,into,system,looking,Cuomo,,reports.,Department","The New York Police Department is looking into a growing number of homeless people sleeping in subway cars and stations. This caught the ire of New York Governor Andrew Cuomo, who called the situation ""disgusting."" CBSN New York's Dave Carlin reports. Watch CBSN Live
Copyright © 2020 CBS Interactive Inc. All rights reserved."
Google News,California teachers resist Newsom’s ‘unrealistic’ call for July start,https://www.politico.com/states/california/story/2020/04/29/california-teachers-resist-newsoms-unrealistic-call-for-july-start-1281241,2020-04-30,"not,in,fall,were,start,preparing,officials,been,for,teachers,reopening.,have,Newsom’s,mid-summer,but,different,to,July,the,a,rush,toward,California,they,call,resist,schools,School,look,prepared,‘unrealistic’","School officials have been preparing for schools to look different in the fall but they were not prepared to rush toward a mid-summer reopening. Empty classroom | John Moore/Getty Images
SACRAMENTO California teachers unions are fighting Gov. Gavin Newsoms suggestion that schools open this summer and making clear that they will have a say at the bargaining table.
The unions say teachers were stunned… [+5614 chars]"
Buzzfeed,"Someone Set A ""Jeopardy!"" Single Day Record, Winning $110,914 By Answering These Questions — How Much Could You Have Won?",https://www.buzzfeed.com/christopherhudspeth/april-2019-a-jeopardy-contestant-james-holzhauer-record,2020-04-30,"Much,single,you've,Let's,Winning,A,Day,Answering,It,day,These,Someone,How,what,Won?,see,Record,,a,was,""Jeopardy!"",got!,Have,record.,winnings,By,Questions,Set,$110,914,Single,Could,You,—",It was a single day winnings record. Let's see what you've got! It was a single day winnings record. Let's see what you've got!
Fox Sports,,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.foxsports.com%2Fnfl%2Fvideo%2F1731457091608%3Futm_campaign%3Dshare_buttons%26utm_medium%3Dfscom%26utm_content%3Dreturn_visit%26utm_term%3Dsf%26utm_source%3Dshare_fb,2020-04-30,None,None None
