tweet,date,likes,retweets
RT @SortedEagle: PM Modi held his 4th round of video conf with CM’s of 9 states. He said that a decision on the lockdown will be taken on M…,2020-04-27 18:59:11,0,17
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 15:20:40,0,59
"RT @Vaishnavi_3: Seems like he is tired of listening to MODI'S BAKWAS.
GOOD DECISION SIR !👏
https://t.co/RkFsWMMUIq",2020-04-27 15:01:33,0,2
RT @BJP4India: “PM Modi is a model for the world. India as world’s largest democracy is allowing the voices of the little guys to be heard.…,2020-04-27 14:58:39,0,755
"Seems like he is tired of listening to MODI'S BAKWAS.
GOOD DECISION SIR !👏
https://t.co/RkFsWMMUIq",2020-04-27 14:25:19,10,2
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 12:28:14,0,59
"RT @PTI_News: India's decision to supply medicines to countries which needed them amid COVID-19 pandemic was guided by its ethos, says PM M…",2020-04-27 11:20:31,0,24
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 11:18:28,0,59
RT @IndiaToday: #Rajasthan government's decision to increase the working hours of factory workers may be subject to criticism but is a step…,2020-04-27 11:02:39,0,5
RT @IndiaToday: #Rajasthan government's decision to increase the working hours of factory workers may be subject to criticism but is a step…,2020-04-27 10:52:58,0,5
RT @IndiaToday: #Rajasthan government's decision to increase the working hours of factory workers may be subject to criticism but is a step…,2020-04-27 10:49:10,0,5
RT @IndiaToday: #Rajasthan government's decision to increase the working hours of factory workers may be subject to criticism but is a step…,2020-04-27 10:49:02,0,5
#Rajasthan government's decision to increase the working hours of factory workers may be subject to criticism but i… https://t.co/zOtUDyUxul,2020-04-27 10:48:16,19,5
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 08:56:33,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 08:54:16,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 08:30:34,0,59
"PM Modi’s meeting with CMs: Except two states, all others want Covid-19 lockdown to be lifted… https://t.co/HUSrp5DBSJ",2020-04-27 08:14:36,0,0
"RT @vijayrupanibjp: WHO praises PM Modi's 'timely and tough' decision on corona lockdown 2.0
https://t.co/LcSGfSFJ8u

via NaMo App",2020-04-27 08:12:32,0,199
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 08:10:00,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 07:56:15,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 07:48:35,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 07:47:44,0,59
"PM Modi meets chief ministers over Covid-19 lockdown, states spell out their wishlist via @htTweets https://t.co/nQnBy8Jd4A",2020-04-27 07:23:02,0,0
