tweet,date,likes,retweets
"British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/AycIol8SUB",2020-04-28 19:14:23,0,0
"British Airways to cut 12,000 jobs as aviation outlook darkens via @FT #dkpol #eudk 
 https://t.co/lNjAyd2UHA",2020-04-28 19:09:15,0,0
"British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/Dhcr0w9l7w via @financialtimes",2020-04-28 19:08:43,0,0
"RT @RichardJMurphy: British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/CrfhBImTcZ via @financialtimes  I am afraid…",2020-04-28 19:06:08,0,8
"British Airways to cut 12,000 jobs as aviation outlook darkens via @FT
 https://t.co/vG47D7HhKi",2020-04-28 19:05:28,0,0
"British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/TGwiD25iGt",2020-04-28 19:03:51,0,0
"RT @RichardJMurphy: British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/CrfhBImTcZ via @financialtimes  I am afraid…",2020-04-28 18:51:40,0,8
"British Airways to cut 12,000 jobs as aviation outlook darkens | Financial Times https://t.co/an1YDvfojM",2020-04-28 18:50:13,0,0
"British Airways to cut 12,000 jobs as aviation outlook darkens CEO Alex Cruz warns staff it will take years to retu… https://t.co/M74WgXz3cS",2020-04-28 18:49:27,0,0
"British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/E7dXwWKd9N via @financialtimes",2020-04-28 18:47:48,0,0
"British Airways To Cut 12,000 Jobs As Aviation Outlook Darkens, CEO Alex Cruz Warns It Will take Years To Return To 2019 Levels",2020-04-28 18:44:57,0,0
"RT @malteseinvest: British Airways to cut 12,000 jobs as aviation outlook darkens

https://t.co/6KLBnlhSzg via @financialtimes",2020-04-28 18:39:25,0,1
"RT @jetcitystar: British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/NqPQrQoVNE",2020-04-28 18:37:25,0,1
"Moving from furloughing to redundancies! British Airways to cut 12,000 jobs as aviation outlook darkens… https://t.co/E9XTu9MkRf",2020-04-28 18:36:21,3,0
"A sign of our troubled times: British Airways to cut 12,000 jobs (nearly a third of its workforce) as aviation outl… https://t.co/fBiRqvVzUm",2020-04-28 18:31:11,0,0
"British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/NqPQrQoVNE",2020-04-28 18:30:01,0,1
"RT @RichardJMurphy: British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/CrfhBImTcZ via @financialtimes  I am afraid…",2020-04-28 18:29:15,0,8
"RT @RichardJMurphy: British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/CrfhBImTcZ via @financialtimes  I am afraid…",2020-04-28 18:29:03,0,8
"RT @RichardJMurphy: British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/CrfhBImTcZ via @financialtimes  I am afraid…",2020-04-28 18:28:58,0,8
"RT @RichardJMurphy: British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/CrfhBImTcZ via @financialtimes  I am afraid…",2020-04-28 18:28:57,0,8
"RT @KellyAdediha: British Airways to cut 12,000 jobs as aviation outlook darkens - https://t.co/nmYNZ0X4Zv via @FT",2020-04-28 18:28:54,0,1
"RT @RichardJMurphy: British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/CrfhBImTcZ via @financialtimes  I am afraid…",2020-04-28 18:28:37,0,8
"British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/uPl6wZODCW via @financialtimes",2020-04-28 18:28:31,0,0
"British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/deGxLaA0YN",2020-04-28 18:28:02,4,0
"isto é violento ""CEO Alex Cruz warns staff it will take years to return to passenger levels of 2019"" British Airway… https://t.co/QiN0HDmftI",2020-04-28 18:27:04,2,0
"RT @RichardJMurphy: British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/CrfhBImTcZ via @financialtimes  I am afraid…",2020-04-28 18:25:53,0,8
"British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/CxK2ukIbbn The job cuts came as IAG rep… https://t.co/e0cXNvLKFh",2020-04-28 18:25:48,0,0
"British Airways to cut 12,000 jobs as aviation outlook darkens - https://t.co/nmYNZ0X4Zv via @FT",2020-04-28 18:25:37,1,1
"British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/CrfhBImTcZ via @financialtimes  I am af… https://t.co/cXP8EK6nvH",2020-04-28 18:25:24,5,8
"British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/YvhIzLGChw via @financialtimes",2020-04-28 18:24:54,0,0
"RT @AllBRKNews: British Airways to cut 12,000 jobs as aviation outlook darkens and CEO Alex Cruz warns it will take years to return to pass…",2020-04-28 18:24:44,0,3
"British Airways to cut 12,000 jobs as aviation outlook darkens

https://t.co/6KLBnlhSzg via @financialtimes",2020-04-28 18:24:05,1,1
"British Airways To Cut 12,000 Jobs As Aviation Outlook Darkens, CEO Alex Cruz Warns It Will take Years To Return To 2019 Levels $EWU",2020-04-28 18:22:57,2,0
"FT - British Airways to cut 12,000 jobs as aviation outlook darkens British Airways is preparing to cut almost 30 p… https://t.co/oDlvNtjdya",2020-04-28 18:21:56,0,0
"FT - British Airways to cut 12,000 jobs as aviation outlook darkens Alex Cruz, BA chief, prepares to cut almost 30… https://t.co/GpQUirQHie",2020-04-28 18:21:55,0,0
"British Airways to cut 12,000 jobs as aviation outlook darkens via @FT
⁦@British_Airways⁩ ⁦@A4Europe⁩  https://t.co/AkDHRWQyyu",2020-04-28 18:20:25,0,0
"RT @AllBRKNews: British Airways to cut 12,000 jobs as aviation outlook darkens and CEO Alex Cruz warns it will take years to return to pass…",2020-04-28 18:20:04,0,3
"British Airways to cut 12,000 jobs as aviation outlook darkens and CEO Alex Cruz warns it will take years to return… https://t.co/Lj4akRDT0O",2020-04-28 18:19:48,1,3
"British Airways to cut 12,000 jobs as aviation outlook darkens https://t.co/TtSMCHM9HV via @financialtimes",2020-04-28 18:12:39,0,0
