tweet,date,likes,retweets
"Here's What The State Of Georgia Looks Like Now That It Has ""Reopened""

Restaurants, gyms, and hair salons are open… https://t.co/mOjKryWnVn",2020-04-28 19:13:29,0,0
"RT @BuzzFeed: Here's What The State Of Georgia Looks Like Now That It Has ""Reopened"" https://t.co/OkPtKGf6f5",2020-04-28 19:11:14,0,3
"Here's What The State Of Georgia Looks Like Now That It Has ""Reopened"" https://t.co/gcmszh9M0y #yummy #foodie… https://t.co/r4gD9UQaYB",2020-04-28 19:10:30,0,0
"Here's What The State Of Georgia Looks Like Now That It Has ""Reopened"" #foodunite #foodsutr Follow us on… https://t.co/SMjmV5CumR",2020-04-28 19:08:18,0,0
"27 Pictures That Show What George Looks Like Now That It Has ""Reopened"" https://t.co/CL2MjA8rDF #buzzfeed https://t.co/iHMNnsHZ8z",2020-04-28 19:05:34,0,0
"Here's What The State Of Georgia Looks Like Now That It Has ""Reopened""

Restaurants, gyms, and hair salons are open… https://t.co/jq0opVwTZk",2020-04-28 19:02:25,0,0
"RT @BuzzFeed: Here's What The State Of Georgia Looks Like Now That It Has ""Reopened"" https://t.co/OkPtKGf6f5",2020-04-28 19:02:05,0,3
"Here's What The State Of Georgia Looks Like Now That It Has ""Reopened"" https://t.co/OkPtKGf6f5",2020-04-28 18:58:30,6,3
"RT @NBCNewsNow: Georgia reopened some businesses today despite many saying it's too early.
@SamBrockNBC looks at what’s opening, and what p…",2020-04-28 01:07:08,0,2
"RT @NBCNewsNow: Georgia reopened some businesses today despite many saying it's too early.
@SamBrockNBC looks at what’s opening, and what p…",2020-04-27 21:59:03,0,2
"Georgia reopened some businesses today despite many saying it's too early.
@SamBrockNBC looks at what’s opening, an… https://t.co/MZprAJ8P7X",2020-04-27 21:58:53,1,2
@BMOK33 @AndyBiotech Georgia shouldnt have reopened.. they just increased testings.. looks like the cases are more… https://t.co/ExOf8FNg4k,2020-04-26 01:13:04,0,0
@realDonaldTrump First Trump asked the Georgia governor to reopen and after he reopened Trump complained. It looks… https://t.co/EY8BiDpPdQ,2020-04-25 16:46:46,0,0
"Mindshot
If you are ready to  test reopened places  in Georgia or anywhere, make sure you know the difference betwe… https://t.co/XU9Ch3B2QQ",2020-04-23 13:59:34,0,0
"@wsbtv Mindshot
If you are ready to  test reopened places  in Georgia or anywhere, make sure you know the differenc… https://t.co/fxnENyg73t",2020-04-23 13:59:07,0,0
@Tectomancer Most of the gun stores are owned by fascists though. Here in Georgia the local jackass trying to get t… https://t.co/VeUjKelwu7,2020-04-23 09:49:48,0,0
@erickabakoff @larryafranks It looks like they reopened in Georgia,2020-04-22 01:21:16,1,0
