tweet,date,likes,retweets
Here's Why “Baking” Damaged Reel-to-Reel Tapes Renders Them Playable Again - https://t.co/e6WnNgKU5c,2020-04-28 09:50:17,0,0
Here’s why “baking” damaged reel-to-reel tapes renders them playable again https://t.co/s20cfa91IB,2020-04-27 17:23:45,0,0
Here’s why “baking” damaged reel-to-reel tapes renders them playable again https://t.co/qtmYFGygBs,2020-04-26 07:49:45,0,0
RT @estherschindler: Here’s why “baking” damaged reel-to-reel tapes renders them playable again https://t.co/UrZuUou8xH,2020-04-25 23:49:44,0,3
RT @estherschindler: Here’s why “baking” damaged reel-to-reel tapes renders them playable again https://t.co/UrZuUou8xH,2020-04-25 20:04:27,0,3
RT @estherschindler: Here’s why “baking” damaged reel-to-reel tapes renders them playable again https://t.co/UrZuUou8xH,2020-04-25 19:31:48,0,3
Here’s why “baking” damaged reel-to-reel tapes renders them playable again https://t.co/UrZuUou8xH,2020-04-25 19:30:23,7,3
RT @MusicREDEF: Here's why 'baking' damaged reel-to-reel tapes renders them playable again (@JenLucPiquant - @arstechnica) https://t.co/G49…,2020-04-23 16:48:35,0,1
"@lemieuxdavid @lucky_budd 
Here’s why “baking” damaged reel-to-reel tapes renders them playable again:
Baking at 13… https://t.co/PqwWmM2oG8",2020-04-23 16:12:17,2,0
Here's why 'baking' damaged reel-to-reel tapes renders them playable again (@JenLucPiquant - @arstechnica) https://t.co/G49TxgCCw5,2020-04-23 16:10:03,0,1
Here’s why “baking” damaged reel-to-reel tapes renders them playable again https://t.co/s20cfa91IB,2020-04-23 16:06:29,1,0
Here’s why “baking” damaged reel-to-reel tapes renders them playable again https://t.co/Lexgo8RmRS,2020-04-23 15:19:00,0,0
RT @sameerverma: Here’s why “baking” damaged reel-to-reel tapes renders them playable again https://t.co/mO1e5YHQNE,2020-04-23 09:22:15,0,1
RT @sciencenews2019: Here’s why “baking” damaged reel-to-reel tapes renders them playable again https://t.co/nMzFVTOyRU #Science https://t.…,2020-04-22 23:43:14,0,1
Here’s why “baking” damaged reel-to-reel tapes renders them playable again https://t.co/jKnMyiTthi // SCIENCE! :),2020-04-22 22:58:00,1,0
Here’s why “baking” damaged reel-to-reel tapes renders them playable again https://t.co/m4zIss6fTb,2020-04-22 21:50:57,0,0
Here’s why “baking” damaged reel-to-reel tapes renders them playable again - Ars Technica https://t.co/1cXGjcc24H,2020-04-22 15:41:44,0,0
RT @JenLucPiquant: ICYMI: a nifty bit of conservation chemistry from the Library of Congress: Here’s why “baking” damaged reel-to-reel tape…,2020-04-22 15:27:29,0,5
RT @JenLucPiquant: ICYMI: a nifty bit of conservation chemistry from the Library of Congress: Here’s why “baking” damaged reel-to-reel tape…,2020-04-22 14:29:43,0,5
RT @JenLucPiquant: ICYMI: a nifty bit of conservation chemistry from the Library of Congress: Here’s why “baking” damaged reel-to-reel tape…,2020-04-22 14:27:42,0,5
RT @JenLucPiquant: ICYMI: a nifty bit of conservation chemistry from the Library of Congress: Here’s why “baking” damaged reel-to-reel tape…,2020-04-22 14:21:45,0,5
RT @JenLucPiquant: ICYMI: a nifty bit of conservation chemistry from the Library of Congress: Here’s why “baking” damaged reel-to-reel tape…,2020-04-22 14:17:59,0,5
ICYMI: a nifty bit of conservation chemistry from the Library of Congress: Here’s why “baking” damaged reel-to-reel… https://t.co/KFV3zVlY3J,2020-04-22 14:14:27,9,5
Here’s why “baking” damaged reel-to-reel tapes renders them playable again https://t.co/gZHH9zngGh,2020-04-22 11:27:46,0,0
