tweet,date,likes,retweets
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:15:11,0,590
"RT @Ph03n1x24: Yeah, why are they sealed? And for that matter why are all Hussein’s records sealed? 🤔

Tara Reade calls for release of Bide…",2020-04-28 19:15:10,0,2
RT @SullengerCheryl: Good question! Probably because he has a lot to hide. I’m betting Reade wasn’t his only victim. #UnsealBidensRecords |…,2020-04-28 19:15:06,0,2
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:15:05,0,590
"RT @Ph03n1x24: Yeah, why are they sealed? And for that matter why are all Hussein’s records sealed? 🤔

Tara Reade calls for release of Bide…",2020-04-28 19:15:04,0,2
"Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/FjTuAvtTfY",2020-04-28 19:15:04,0,0
RT @ScottJW: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' https://t.co/sEBL8sO2aF,2020-04-28 19:15:04,0,2
"Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/msVLZJmDqh",2020-04-28 19:15:03,0,0
"RT @AMCE001: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/0caqdY6kjx",2020-04-28 19:15:02,0,1
"RT @pushforward40: GREAT QUESTION! YOU GOT SOMETHING TO HIDE @JoeBiden? 

Tara Reade calls for release of Biden's Senate records: 'Why are…",2020-04-28 19:15:01,0,8
"What's Gropin' Joe hiding? 🤔

Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'… https://t.co/aOG8E3XbV6",2020-04-28 19:15:01,1,0
"RT @Trump2Usa: JUST IN! 💥Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'💥

https://t.co/EVGnlsbKu6",2020-04-28 19:15:00,0,3
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:59,0,590
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:58,0,590
"Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/oGsm8Oob9Z",2020-04-28 19:14:58,0,0
"RT @FuctupMike: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/xT2M40Uhzy",2020-04-28 19:14:58,0,35
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:56,0,591
"RT @MrJones_tm: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

GREAT Question..... 🧐

Democrats consta…",2020-04-28 19:14:56,0,54
"RT @DailyCaller: According to Tara Reade, she filed a written sexual harassment complaint against Joe Biden with a “Senate personnel office…",2020-04-28 19:14:56,0,780
