tweet,date,likes,retweets
RT @thehill: WATCH LIVE: California Gov. Newsom gives coronavirus updates https://t.co/BA0kO4XKOc https://t.co/4CYsbQ2OnL,2020-04-28 19:13:58,0,3
RT @thehill: WATCH LIVE: California Gov. Newsom gives coronavirus updates https://t.co/BA0kO4XKOc https://t.co/4CYsbQ2OnL,2020-04-28 19:09:04,0,3
RT @thehill: WATCH LIVE: California Gov. Newsom gives coronavirus updates https://t.co/BA0kO4XKOc https://t.co/4CYsbQ2OnL,2020-04-28 19:08:15,0,3
WATCH LIVE: California Gov. Newsom gives coronavirus updates https://t.co/BA0kO4XKOc https://t.co/4CYsbQ2OnL,2020-04-28 19:06:28,12,3
Watch live: California Gov. Newsom gives coronavirus updates https://t.co/RHnupSWdJI,2020-04-28 19:03:08,0,0
"California Gov. Gavin Newsom is about to deliver his daily coronavirus briefing.

Watch the live video &amp; follow thi… https://t.co/vI1lEO5FTl",2020-04-28 19:00:53,4,0
RT @Defeat_Trump2: Watch live: California Gov. Newsom gives coronavirus updates https://t.co/ko4Xf4bWfB,2020-04-28 17:36:01,0,2
Watch live: California Gov. Newsom gives coronavirus updates https://t.co/ko4Xf4bWfB,2020-04-28 17:33:18,3,2
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-28 08:23:46,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-28 05:18:52,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-28 00:33:04,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 23:44:53,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 22:54:14,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 22:16:38,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 21:00:15,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 20:59:54,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 20:37:11,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 20:34:47,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 20:30:39,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 20:21:14,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 20:19:14,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 20:11:51,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:52:34,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:52:14,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:50:44,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:44:32,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:43:54,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:39:38,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:32:20,0,59
"RT @KTLA: Colorado and Nevada have joined the Western states coalition, along with Oregon and Washington, Gov. @GavinNewsom announces. Watc…",2020-04-27 19:32:12,0,1
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:27:11,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:27:07,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:26:57,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:26:41,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:23:05,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:21:51,0,59
"Colorado and Nevada have joined the Western states coalition, along with Oregon and Washington, Gov. @GavinNewsom a… https://t.co/0IqfnxK8Np",2020-04-27 19:16:44,17,1
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:15:59,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:14:56,0,59
RT @KTLA: Watch live: Gov. @GavinNewsom set to provide update on state's coronavirus response https://t.co/6HwJgSbhtW,2020-04-27 19:14:16,0,1
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:14:12,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:13:58,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:13:54,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:12:51,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:12:37,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:12:27,0,59
