Title,W2V Score(40%),Twitter Score(60%),Virality(%),Viral by
"Here's What The State Of Georgia Looks Like Now That It Has ""Reopened""",0.0,60.0,60.0,2020-04-28 20:00:00
"LIFTBRIDGE · Lightweight, fault-tolerant message streams",0.0,60.0,60.0,2020-04-28 21:00:00
Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?',0.0,60.0,60.0,2020-04-28 19:00:00
Coronavirus Australia live updates: Experts offer two potential roads to recovery,0.0,0.0,0.0,N/A
17 People Who Learned Things About Their Partners During Quarantine That They Were NOT Ready For,0.0,0.0,0.0,N/A
Here’s why “baking” damaged reel-to-reel tapes renders them playable again,0.0,0.0,0.0,N/A
"Kate Hudson Said She Would Have Dated Jimmy Fallon In The 2000s, But He Never Made A Move",0.0,0.0,0.0,N/A
"British Airways to cut 12,000 jobs as aviation outlook darkens",0.0,0.0,0.0,N/A
British Museum makes 1.9 million images available for free,0.0,0.0,0.0,N/A
Watch live: California Gov. Newsom gives coronavirus updates,0.0,0.0,0.0,N/A
